Id;Designator;Package;Quantity;Designation;Supplier and ref
1;Q1;TO-92_Inline;1;BC337;Mouser
2;C2;CAPPRD250W55D630H600;1;47uF;Mouser
3;J1;SHDR2W90P0X508_1X2_1016X950X1500P_Conn;1;Signal_IN;Mouser
4;J2;SHDR2W90P0X508_1X2_1016X950X1500P_Conn;1;Signal_OUT;Mouser
5;J3;SHDR2W90P0X508_1X2_1016X950X1500P_Conn;1;+12V_IN;Mouser
6;R1;R_2512_6332Metric;1;51k;Mouser
7;R2;R_2010_5025Metric;1;7,1k;Mouser
8;R3;R_1218_3246Metric;1;1k;Mouser
9;R4;R_2512_6332Metric;1;100R;Mouser
10;C1;CAPC1608X120N;1;47uF;Mouser
